"ID","MONTHS_BALANCE","STATUS","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_BIRTH","DAYS_EMPLOYED","FLAG_MOBIL","FLAG_WORK_PHONE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS"
5008804,-6,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-4,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-1,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-5,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-11,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-12,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-13,"1","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-14,"0","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-15,"X","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,0,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-7,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-2,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-3,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
5008804,-10,"C","M","Y","Y",0,427500,"Working","Higher education","Civil marriage","Rented apartment",-12005,-4542,1,1,0,0,"",2
